League,year,month,day,homeTeam,awayTeam,homeGoals,awayGoals,matchResults
England Championship,2018,12,22,Rotherham,WestBrom,0,4,-1
England Championship,2018,12,22,SheffWed,Preston,1,0,1
England Championship,2018,12,22,Stoke,Millwall,1,0,1
England Championship,2018,12,22,Wigan,Birmingham,0,3,-1
England League 1,2018,12,22,Blackpool,Barnsley,0,1,-1
England League 1,2018,12,22,Bradford,Scunthorpe,2,0,1
England League 1,2018,12,22,BristolRovers,FleetwoodTown,2,1,1
England League 1,2018,12,22,Charlton,Gillingham,2,0,1
England League 1,2018,12,22,Doncaster,OxfordUtd,2,2,0
England League 1,2018,12,22,Luton,BurtonAlbion,2,0,1
England League 1,2018,12,22,Peterborough,Walsall,1,1,0
England League 1,2018,12,22,Plymouth,AccringtonStanley,0,3,-1
England League 1,2018,12,22,Portsmouth,Sunderland,3,1,1
England League 1,2018,12,22,Shrewsbury,Coventry,1,0,1
England League 1,2018,12,22,Southend,Rochdale,1,2,-1
England League 1,2018,12,22,Wycombe,AFCWimbledon,1,2,-1
England League 2,2018,12,22,Bury,Tranmere,2,1,1
England League 2,2018,12,22,CrawleyTown,Carlisle,2,3,-1
England League 2,2018,12,22,ForestGreen,Crewe,1,0,1
England League 2,2018,12,22,Grimsby,NottsCounty,4,0,1
England League 2,2018,12,22,LincolnCity,NewportCounty,3,2,1
England League 2,2018,12,22,Macclesfield,PortVale,0,0,0
England League 2,2018,12,22,MiltonKeynesDons,Colchester,0,1,-1
England League 2,2018,12,22,Morecambe,CambridgeUtd,3,0,1
England League 2,2018,12,22,Oldham,Exeter,2,3,-1
England League 2,2018,12,22,Stevenage,Mansfield,1,3,-1
England League 2,2018,12,22,Swindon,Cheltenham,0,0,0
England League 2,2018,12,22,Yeovil,Northampton,1,1,0
Poland Ekstraklasa,2018,12,22,KoronaKielce,MiedzLegnica,0,0,0
Germany Bundesliga,2018,12,22,Hannover,,96,0,1
Germany Bundesliga,2018,12,22,Nurnberg,Freiburg,0,1,-1
Germany Bundesliga,2018,12,22,BayerLeverkusen,HerthaBerlin,3,1,1
Germany Bundesliga,2018,12,22,RBLeipzig,WerderBremen,3,2,1
Germany Bundesliga,2018,12,22,VfBStuttgart,Schalke,1,04,1
Wales Premier League,2018,12,22,ConnahsQuay,CardiffMetropolitanUniversity,6,1,1
Wales Premier League,2018,12,22,Llandudno,TheNewSaints,0,4,-1
Wales Premier League,2018,12,22,Llanelli,BalaTown,1,7,-1
Wales Premier League,2018,12,22,Newtown,CarmarthenTown,1,1,0
Italy Serie A,2018,12,22,Empoli,Sampdoria,2,4,-1
Italy Serie A,2018,12,22,Genoa,Atalanta,3,1,1
Italy Serie A,2018,12,22,ACMilan,Fiorentina,0,1,-1
Italy Serie A,2018,12,22,Udinese,Frosinone,1,1,0
Italy Serie A,2018,12,22,Napoli,Spal,1,0,1
France Ligue 2,2018,12,22,Lens,ACAjaccio,1,2,-1
France Ligue 2,2018,12,22,Sochaux,Lorient,1,0,1
India I League,2018,12,22,ChennaiCity,RealKashmir,0,1,-1
Italy Serie B,2018,12,22,Cremonese,Carpi,1,2,-1
Italy Serie B,2018,12,22,Livorno,HellasVerona,0,0,0
Italy Serie A,2018,12,22,Sassuolo,Torino,1,1,0
South Africa Premiership,2018,12,22,AmaZulu,GoldenArrows,2,0,1
Greece Football League,2018,12,22,Platanias,Irodotos,5,1,1
Turkey Lig 1,2018,12,22,GaziantepBB,Karabukspor,6,1,1
Turkey Super Lig,2018,12,22,Alanyaspor,IstanbulBuyuksehirBSK,1,1,0
Germany Bundesliga III,2018,12,22,Karlsruhe,Braunschweig,1,1,0
Germany Bundesliga III,2018,12,22,FCKickersWurzburg,Osnabruck,1,2,-1
Germany Bundesliga III,2018,12,22,Meppen,Lotte,2,0,1
Germany Bundesliga III,2018,12,22,,Munich,1860,2,-1
Germany Bundesliga III,2018,12,22,PreussenMunster,FortunaKoln,0,2,-1
Germany Bundesliga III,2018,12,22,Hallescher,FSVZwickau,2,0,1
Germany Bundesliga III,2018,12,22,HansaRostock,Cottbus,0,2,-1
England Conference,2018,12,22,Barnet,DoverAthletic,2,0,1
England Premier League,2018,12,22,Arsenal,Burnley,3,1,1
Saudi Arabia Pro League,2018,12,22,AlFaiha,OhudMedina,3,0,1
Spain Primera Liga,2018,12,22,RealBetis,Eibar,1,1,0
Spain Segunda Liga,2018,12,22,Lugo,SportingGijon,0,0,0
Germany Bundesliga II,2018,12,22,ArminiaBielefeld,FCHeidenheim,1,2,-1
Germany Bundesliga II,2018,12,22,Ingolstadt,Regensburg,1,2,-1
Germany Bundesliga II,2018,12,22,StPauli,Magdeburg,4,1,1
Italy Serie A,2018,12,22,Lazio,Cagliari,3,1,1
Portugal LigaPro,2018,12,22,Famalicao,BenficaII,0,0,0
Portugal LigaPro,2018,12,22,FCPortoII,Covilha,3,0,1
Romania Liga I,2018,12,22,Hermannstadt,ViitorulConstanta,1,0,1
Turkey Super Lig,2018,12,22,Ankaragucu,Goztepespor,0,3,-1
Turkey Lig 1,2018,12,22,Elazigspor,Altay,1,1,0
Turkey Lig 1,2018,12,22,Umraniyespor,AfjetAfyonspor,2,1,1
Australia A League,2018,12,22,MelbourneCity,MelbourneVictory,1,1,0
Australia A League,2018,12,22,WellingtonPhoenix,BrisbaneRoar,4,1,1
England Conference,2019,1,1,Bromley,SuttonUtd,2,1,1
England Premier League,2019,1,1,Cardiff,Tottenham,0,3,-1
Wales Premier League,2019,1,1,CarmarthenTown,Llanelli,2,0,1
England Conference,2019,1,1,AFCFylde,Barrow,0,0,0
England Conference,2019,1,1,Aldershot,MaidenheadUtd,0,0,0
England Conference,2019,1,1,Barnet,BorehamWood,1,1,0
England Conference,2019,1,1,BraintreeTown,EbbsfleetUnited,0,4,-1
England League 2,2019,1,1,LincolnCity,PortVale,1,1,0
England League 2,2019,1,1,Macclesfield,Tranmere,1,1,0
England League 2,2019,1,1,MiltonKeynesDons,CambridgeUtd,6,0,1
England League 2,2019,1,1,Morecambe,Carlisle,0,2,-1
England League 2,2019,1,1,Oldham,NottsCounty,2,0,1
England League 2,2019,1,1,Stevenage,NewportCounty,1,0,1
England League 2,2019,1,1,Swindon,Exeter,0,2,-1
England League 2,2019,1,1,Yeovil,Cheltenham,1,4,-1
Northern Ireland Premier League,2019,1,1,Ards,Linfield,0,2,-1
Northern Ireland Premier League,2019,1,1,Coleraine,Cliftonville,4,1,1
Northern Ireland Premier League,2019,1,1,Crusaders,BallymenaUnited,3,2,1
Northern Ireland Premier League,2019,1,1,Glenavon,WarrenpointTown,1,3,-1
Northern Ireland Premier League,2019,1,1,Glentoran,DungannonSwifts,2,4,-1
Northern Ireland Premier League,2019,1,1,NewryCity,InstituteFC,1,2,-1
England Championship,2019,1,1,AstonVilla,QPR,2,2,0
England Championship,2019,1,1,Blackburn,WestBrom,2,1,1
England Championship,2019,1,1,Brentford,Norwich,1,1,0
England Championship,2019,1,1,Derby,Middlesbrough,1,1,0
England Championship,2019,1,1,Hull,Bolton,6,0,1
England Championship,2019,1,1,Ipswich,Millwall,2,3,-1
England Championship,2019,1,1,NottmForest,Leeds,4,2,1
England Championship,2019,1,1,Reading,Swansea,1,4,-1
England Championship,2019,1,1,Rotherham,Preston,2,1,1
England Championship,2019,1,1,SheffWed,Birmingham,1,1,0
England Championship,2019,1,1,Stoke,BristolCity,0,2,-1
England Championship,2019,1,1,Wigan,SheffUtd,0,3,-1
England League 1,2019,1,1,Blackpool,Sunderland,0,1,-1
England League 1,2019,1,1,Bradford,AccringtonStanley,3,0,1
England League 1,2019,1,1,BristolRovers,BurtonAlbion,0,0,0
England League 1,2019,1,1,Charlton,Walsall,2,1,1
England League 1,2019,1,1,Doncaster,Rochdale,5,0,1
England League 1,2019,1,1,Luton,Barnsley,0,0,0
England League 1,2019,1,1,Peterborough,Scunthorpe,0,2,-1
England League 1,2019,1,1,Plymouth,OxfordUtd,3,0,1
England League 1,2019,1,1,Portsmouth,AFCWimbledon,2,1,1
England League 1,2019,1,1,Shrewsbury,FleetwoodTown,0,0,0
England League 1,2019,1,1,Southend,Gillingham,2,0,1
England League 1,2019,1,1,Wycombe,Coventry,0,2,-1
England League 2,2019,1,1,Bury,Crewe,3,1,1
England League 2,2019,1,1,CrawleyTown,Colchester,2,0,1
England League 2,2019,1,1,ForestGreen,Northampton,2,1,1
England Premier League,2019,1,1,Arsenal,Fulham,4,1,1
England Conference South,2019,1,1,TruroCity,Torquay,1,3,-1
England Conference South,2019,1,1,HemelHempstead,StAlbansCity,1,1,0
England Conference South,2019,1,1,OxfordCity,HungerfordTown,1,2,-1
England Conference North,2019,1,1,SpennymoorTown,BlythSpartans,2,2,0
England Conference North,2019,1,1,York,Darlington,4,0,1
England Conference South,2019,1,1,Bath,ChippenhamTown,5,0,1
England Conference South,2019,1,1,BillericayTown,ChelmsfordCity,0,1,-1
England Conference South,2019,1,1,ConcordRangers,EastThurrockUtd,1,1,0
England Conference South,2019,1,1,Dartford,WellingUtd,1,0,1
England Conference South,2019,1,1,EastbourneBorough,DulwichHamlet,2,1,1
England Conference South,2019,1,1,GloucesterCity,WestonSuperMare,1,3,-1
England Conference,2019,1,1,Eastleigh,HavantandW,2,1,1
England Conference,2019,1,1,Halifax,HarrogateTown,1,1,0
England Conference,2019,1,1,Hartlepool,Gateshead,2,1,1
England Conference,2019,1,1,LeytonOrient,DagenhamandRedbridge,1,0,1
England Conference,2019,1,1,MaidstoneUtd,DoverAthletic,0,1,-1
England Conference,2019,1,1,SalfordCity,Wrexham,2,0,1
England Conference,2019,1,1,SolihullMoors,Chesterfield,2,2,0
England Conference North,2019,1,1,AlfretonTown,BostonUtd,1,1,0
England Conference North,2019,1,1,Altrincham,Stockport,0,1,-1
England Conference North,2019,1,1,AshtonUtd,CurzonAshton,1,2,-1
England Conference North,2019,1,1,BradfordParkAvenue,Guiseley,1,2,-1
England Conference North,2019,1,1,Chester,Southport,0,0,0
England Conference North,2019,1,1,Chorley,FCUnited,4,0,1
England Conference North,2019,1,1,Kidderminster,Hereford,2,1,1
England Conference North,2019,1,1,Leamington,BrackleyTown,0,0,0
Wales Premier League,2019,1,1,NewiCefnDruids,TheNewSaints,0,3,-1
Wales Premier League,2019,1,1,ConnahsQuay,BalaTown,4,1,1
Wales Premier League,2019,1,1,Llandudno,CaernarfonTown,1,1,0
England League 2,2019,1,1,Grimsby,Mansfield,0,1,-1
England Conference North,2019,1,1,NuneatonTown,TelfordUtd,1,2,-1
England Conference South,2019,1,1,HamptonandRichmond,Woking,0,3,-1
England Conference South,2019,1,1,SloughTown,Wealdstone,0,1,-1
England Premier League,2019,1,1,Everton,Leicester,0,1,-1
Australia A League,2019,1,1,WestSydney,MelbourneCity,0,2,-1
Italy Serie A,2018,12,29,ACMilan,Spal,2,1,1
Scotland Premiership,2018,12,29,Hibernian,Hearts,0,1,-1
England Premier League,2018,12,29,Liverpool,Arsenal,5,1,1
Italy Serie A,2018,12,29,Napoli,Bologna,3,2,1
Egypt Premier League,2018,12,29,ELDaklyeh,AlAhly,2,2,0
Scotland League One,2018,12,29,Montrose,Arbroath,1,1,0
Scotland League One,2018,12,29,AirdrieUtd,Stranraer,3,0,1
Scotland League Two,2018,12,29,Albion,AnnanAthletic,1,1,0
Scotland League Two,2018,12,29,Berwick,EdinburghCity,2,2,0
Scotland League Two,2018,12,29,Elgin,Peterhead,0,3,-1
Scotland League Two,2018,12,29,Clyde,QueensPark,2,0,1
Scotland League Two,2018,12,29,Stirling,Cowdenbeath,2,1,1
Northern Ireland Premier League,2018,12,29,WarrenpointTown,Coleraine,0,1,-1
Northern Ireland Premier League,2018,12,29,DungannonSwifts,Ards,0,3,-1
Northern Ireland Premier League,2018,12,29,Glenavon,InstituteFC,3,3,0
Northern Ireland Premier League,2018,12,29,Glentoran,Crusaders,0,1,-1
Northern Ireland Premier League,2018,12,29,BallymenaUnited,NewryCity,3,1,1
Northern Ireland Premier League,2018,12,29,Cliftonville,Linfield,0,2,-1
England Conference South,2018,12,29,HungerfordTown,TruroCity,1,4,-1
Scotland Premiership,2018,12,29,Kilmarnock,StMirren,2,1,1
Scotland Premiership,2018,12,29,Livingston,Aberdeen,1,2,-1
England Premier League,2018,12,29,Brighton,Everton,1,0,1
England Premier League,2018,12,29,Fulham,Huddersfield,1,0,1
England Premier League,2018,12,29,Leicester,Cardiff,0,1,-1
England Premier League,2018,12,29,Tottenham,Wolverhampton,1,3,-1
England Premier League,2018,12,29,Watford,Newcastle,1,1,0
Scotland Championship,2018,12,29,Alloa,DundeeUtd,2,1,1
Scotland Championship,2018,12,29,Falkirk,Dunfermline,2,4,-1
Scotland Championship,2018,12,29,Partick,Morton,1,2,-1
Scotland Championship,2018,12,29,QueenofSouth,Ayr,1,1,0
Scotland Championship,2018,12,29,RossCounty,InvernessCT,2,1,1
Scotland Premiership,2018,12,29,Dundee,StJohnstone,0,2,-1
Scotland Premiership,2018,12,29,Hamilton,Motherwell,1,2,-1
Scotland League One,2018,12,29,Raith,EastFife,1,2,-1
Scotland League One,2018,12,29,Stenhousemuir,Dumbarton,2,2,0
Scotland League One,2018,12,29,Forfar,Brechin,2,0,1
England League 1,2018,12,29,AFCWimbledon,Blackpool,0,0,0
England League 1,2018,12,29,AccringtonStanley,Peterborough,0,4,-1
England League 1,2018,12,29,Barnsley,Charlton,2,1,1
England League 1,2018,12,29,BurtonAlbion,Plymouth,1,1,0
England League 1,2018,12,29,Coventry,Southend,1,0,1
England League 1,2018,12,29,FleetwoodTown,Portsmouth,2,5,-1
England League 1,2018,12,29,Gillingham,Doncaster,1,3,-1
England League 1,2018,12,29,Rochdale,Bradford,0,4,-1
England League 1,2018,12,29,Scunthorpe,Wycombe,1,0,1
England League 1,2018,12,29,Sunderland,Shrewsbury,1,1,0
England League 1,2018,12,29,Walsall,Luton,2,2,0
England League 2,2018,12,29,CambridgeUtd,LincolnCity,1,2,-1
England League 2,2018,12,29,Carlisle,Macclesfield,2,1,1
England League 2,2018,12,29,Cheltenham,ForestGreen,2,2,0
England League 2,2018,12,29,Colchester,Morecambe,0,0,0
England League 2,2018,12,29,Crewe,Stevenage,1,0,1
England League 2,2018,12,29,Exeter,Grimsby,1,2,-1
England League 2,2018,12,29,Mansfield,Swindon,0,0,0
England League 2,2018,12,29,NewportCounty,CrawleyTown,0,0,0
England League 2,2018,12,29,Northampton,MiltonKeynesDons,2,2,0
England League 2,2018,12,29,NottsCounty,Bury,0,0,0
England League 2,2018,12,29,PortVale,Oldham,1,4,-1
England League 2,2018,12,29,Tranmere,Yeovil,0,0,0
England Championship,2018,12,29,Birmingham,Brentford,0,0,0
England Championship,2018,12,29,Bolton,Stoke,0,0,0
England Championship,2018,12,29,BristolCity,Rotherham,1,0,1
England Championship,2018,12,29,Leeds,Hull,0,2,-1
England Championship,2018,12,29,Middlesbrough,Ipswich,2,0,1
England Championship,2018,12,29,Millwall,NottmForest,1,0,1
England Championship,2018,12,29,Norwich,Derby,3,4,-1
England Championship,2018,12,29,Preston,AstonVilla,1,1,0
England Championship,2018,12,29,QPR,Reading,0,0,0
England Championship,2018,12,29,SheffUtd,Blackburn,3,0,1
England Championship,2018,12,29,Swansea,Wigan,2,2,0
England Championship,2018,12,29,WestBrom,SheffWed,1,1,0
England Conference,2018,12,29,BorehamWood,MaidstoneUtd,0,1,-1
England Conference,2018,12,29,Chesterfield,Hartlepool,1,1,0
England Conference,2018,12,29,DagenhamandRedbridge,Barnet,0,1,-1
England Conference,2018,12,29,DoverAthletic,LeytonOrient,0,0,0
England Conference,2018,12,29,EbbsfleetUnited,Eastleigh,3,0,1
England Conference,2018,12,29,Gateshead,Halifax,1,1,0
England Conference,2018,12,29,HarrogateTown,AFCFylde,1,2,-1
England Conference,2018,12,29,HavantandW,Bromley,0,3,-1
England Conference,2018,12,29,MaidenheadUtd,BraintreeTown,0,1,-1
England Conference,2018,12,29,SuttonUtd,Aldershot,2,1,1
England Conference,2018,12,29,Wrexham,SolihullMoors,1,0,1
England Conference North,2018,12,29,TelfordUtd,Leamington,4,1,1
England Conference North,2018,12,29,BlythSpartans,York,2,1,1
England Conference North,2018,12,29,BostonUtd,BradfordParkAvenue,2,2,0
England Conference North,2018,12,29,BrackleyTown,NuneatonTown,3,1,1
England Conference North,2018,12,29,CurzonAshton,Chorley,0,1,-1
England Conference North,2018,12,29,Darlington,AshtonUtd,2,1,1
England Conference North,2018,12,29,FCUnited,SpennymoorTown,1,3,-1
England Conference North,2018,12,29,Guiseley,Altrincham,2,2,0
England Conference North,2018,12,29,Hereford,Chester,2,0,1
England Conference North,2018,12,29,Southport,AlfretonTown,2,1,1
England Conference North,2018,12,29,Stockport,Kidderminster,1,0,1
England Conference South,2018,12,29,ChelmsfordCity,HemelHempstead,2,1,1
England Conference South,2018,12,29,ChippenhamTown,HamptonandRichmond,3,2,1
England Conference South,2018,12,29,DulwichHamlet,SloughTown,0,1,-1
England Conference South,2018,12,29,EastThurrockUtd,Dartford,2,2,0
England Conference South,2018,12,29,StAlbansCity,BillericayTown,2,1,1
England Conference South,2018,12,29,Torquay,GloucesterCity,2,1,1
England Conference South,2018,12,29,Wealdstone,OxfordCity,0,2,-1
England Conference South,2018,12,29,WellingUtd,ConcordRangers,0,1,-1
England Conference South,2018,12,29,WestonSuperMare,Bath,0,2,-1
England Conference South,2018,12,29,Woking,EastbourneBorough,2,0,1
Saudi Arabia Pro League,2018,12,29,AlEttifaq,IttihadJeddah,1,0,1
Italy Serie A,2018,12,29,Genoa,Fiorentina,0,0,0
Italy Serie A,2018,12,29,Lazio,Torino,1,1,0
Italy Serie A,2018,12,29,Empoli,InterMilan,0,1,-1
Italy Serie A,2018,12,29,Chievo,Frosinone,1,0,1
Italy Serie A,2018,12,29,Udinese,Cagliari,2,0,1
Italy Serie A,2018,12,29,Sassuolo,Atalanta,2,6,-1
Italy Serie A,2018,12,29,Parma,Roma,0,2,-1
England League 1,2018,12,29,OxfordUtd,BristolRovers,0,2,-1
England Conference,2018,12,29,Barrow,SalfordCity,3,2,1
Scotland Premiership,2018,12,29,Rangers,Celtic,1,0,1
Wales Premier League,2018,12,29,CaernarfonTown,Llandudno,3,3,0
Italy Serie A,2018,12,29,Juventus,Sampdoria,2,1,1
India I League,2018,12,29,ChennaiCity,Lajong,6,1,1
Portugal LigaPro,2018,12,29,CovaPiedade,Mafra,0,3,-1
Australia A League,2018,12,29,SydneyFC,BrisbaneRoar,2,1,1
India I League,2018,12,29,Aizawl,GokulamKerala,3,2,1
Hong Kong 1st Division,2018,12,29,Kitchee,BiuChunGlorySky,5,0,1
Portugal Superliga,2019,1,7,FCPorto,Nacional,3,1,1
Spain Primera Liga,2019,1,7,CeltadeVigo,AthleticBilbao,1,2,-1
Spain Segunda Liga,2019,1,7,RayoMajadahonda,LasPalmas,0,0,0
England FA Cup,2019,1,7,Wolverhampton,Liverpool,2,1,1
Portugal Superliga,2019,1,7,Tondela,SportingLisbon,2,1,1
Portugal Superliga,2019,1,7,Moreirense,Aves,1,0,1
Cyprus 1. Division,2019,1,7,ErmisAradippou,Enosis,0,0,0
Morocco GNF 1,2019,1,7,RSBBerkane,IttihadTanger,2,0,1
Spain Segunda Liga,2019,1,7,Numancia,RealOviedo,2,3,-1
Spain Copa Del Rey,2019,1,8,SportingGijon,Valencia,2,1,1
England League Cup,2019,1,8,Tottenham,Chelsea,1,0,1
England Conference,2019,1,8,Gateshead,SolihullMoors,1,2,-1
England Conference,2019,1,8,Bromley,Wrexham,2,0,1
England Conference North,2019,1,8,Southport,Guiseley,1,0,1
England Conference North,2019,1,8,SpennymoorTown,Kidderminster,2,1,1
England Conference South,2019,1,8,SloughTown,Bath,0,0,0
England Conference South,2019,1,8,TruroCity,StAlbansCity,2,1,1
France Ligue 1,2019,1,8,Amiens,Angers,0,0,0
France Ligue 1,2019,1,8,Nantes,Montpellier,2,0,1
South Africa Premiership,2019,1,8,OrlandoPirates,ChippaUnited,4,2,1
Egypt Premier League,2019,1,8,AlMasry,PyramidsFC,3,3,0
Egypt Premier League,2019,1,8,Smouha,AlAhly,0,1,-1
Australia A League,2019,1,8,WestSydney,WellingtonPhoenix,2,3,-1
India I League,2019,1,8,AiffXI,EastBengal,1,2,-1
Portugal Superliga,2019,1,6,Braga,Boavista,1,0,1
Spain Primera Liga,2019,1,6,Getafe,Barcelona,1,2,-1
Spain Segunda Liga,2019,1,6,Malaga,ReusDeportiu,0,3,-1
Spain Primera Liga,2019,1,6,RealMadrid,RealSociedad,0,2,-1
Portugal Superliga,2019,1,6,Benfica,RioAve,4,2,1
Portugal LigaPro,2019,1,6,Oliveirense,Penafiel,2,1,1
Spain Segunda Liga,2019,1,6,Osasuna,Cadiz,2,1,1
Spain Segunda Liga,2019,1,6,Gimnastic,Cordoba,1,0,1
Spain Segunda Liga,2019,1,6,DeportivoLaCoruna,Lugo,0,0,0
England FA Cup,2019,1,6,NewportCounty,Leicester,2,1,1
Cyprus 1. Division,2019,1,6,NeaSalamina,ApollonLimassol,0,3,-1
Spain Primera Liga,2019,1,6,Sevilla,AtleticoMadrid,1,1,0
Portugal LigaPro,2019,1,6,Leixoes,Covilha,1,0,1
Portugal LigaPro,2019,1,6,Mafra,PacosFerreira,1,1,0
Portugal Superliga,2019,1,6,Belenenses,Guimaraes,1,0,1
Portugal Superliga,2019,1,6,VitoriaSetubal,Chaves,0,0,0
Portugal Superliga,2019,1,6,Feirense,SantaClara,2,2,0
Portugal LigaPro,2019,1,6,Arouca,Farense,3,3,0
France National,2019,1,6,Chambly,Avranches,2,1,1
Cyprus 1. Division,2019,1,6,OmoniaNicosia,AEKLarnaca,1,0,1
England FA Cup,2019,1,6,Woking,Watford,0,2,-1
England FA Cup,2019,1,6,QPR,Leeds,2,1,1
England FA Cup,2019,1,6,SheffUtd,Barnet,0,1,-1
England FA Cup,2019,1,6,ManCity,Rotherham,7,0,1
England FA Cup,2019,1,6,Preston,Doncaster,1,3,-1
England FA Cup,2019,1,6,Millwall,Hull,2,1,1
England FA Cup,2019,1,6,Fulham,Oldham,1,2,-1
South Africa Premiership,2019,1,6,Baroka,BlackLeopards,1,2,-1
South Africa Premiership,2019,1,6,GoldenArrows,MaritzburgUnited,2,0,1
Morocco GNF 1,2019,1,6,RajaCasablanca,WydadCasablanca,0,1,-1
Greece Football League,2019,1,6,Kerkyra,Platanias,1,0,1
Greece Football League,2019,1,6,Sparti,Irodotos,3,0,1
Portugal LigaPro,2019,1,6,Famalicao,Varzim,0,0,0
Portugal LigaPro,2019,1,6,BragaII,GuimaraesII,2,3,-1
Spain Primera Liga,2019,1,6,Eibar,Villarreal,0,0,0
Spain Segunda Liga,2019,1,6,Almeria,Mallorca,2,0,1
India I League,2019,1,6,MohunBaganAC,RealKashmir,1,2,-1
Australia A League,2019,1,6,BrisbaneRoar,PerthGlory,2,4,-1
Australia A League,2019,1,6,MelbourneCity,NewcastleJets,2,1,1
New Zealand Premiership,2019,1,6,CanterburyUnited,TasmanUnited,1,0,1
New Zealand Premiership,2019,1,6,TeamWellington,Wanderers,2,1,1
New Zealand Premiership,2019,1,6,WaitakereUnited,AucklandCity,0,2,-1
New Zealand Premiership,2019,1,6,OtagoUnited,EasternSuburbs,1,6,-1
Portugal Superliga,2019,1,5,Maritimo,Portimonense,2,1,1
Spain Primera Liga,2019,1,5,Huesca,RealBetis,2,1,1
South Africa Premiership,2019,1,5,HighlandsPark,OrlandoPirates,2,2,0
South Africa Premiership,2019,1,5,SupersportUnited,CapeTownCity,0,1,-1
England FA Cup,2019,1,5,BristolCity,Huddersfield,1,0,1
England FA Cup,2019,1,5,Newcastle,Blackburn,1,1,0
England FA Cup,2019,1,5,CrystalPalace,Grimsby,1,0,1
England FA Cup,2019,1,5,Norwich,Portsmouth,0,1,-1
England FA Cup,2019,1,5,Blackpool,Arsenal,0,3,-1
Cyprus 1. Division,2019,1,5,DoxaKatokopias,ApoelNicosia,1,2,-1
Algeria Ligue 1,2019,1,5,Paradou,MCAlger,0,1,-1
Egypt Premier League,2019,1,5,AlIttihad,Zamalek,1,3,-1
Cyprus 1. Division,2019,1,5,AnorthosisFamagusta,AlkiOroklini,0,0,0
South Africa Premiership,2019,1,5,FreeStateStars,BidvestWits,1,2,-1
Spain Primera Liga,2019,1,5,Alaves,Valencia,2,1,1
Spain Segunda Liga,2019,1,5,SportingGijon,RealZaragoza,1,2,-1
Spain Segunda Liga,2019,1,5,Extremadura,Alcorcon,3,0,1
Scotland League Two,2019,1,5,AnnanAthletic,Elgin,2,0,1
Cyprus 1. Division,2019,1,5,Limassol,Paphos,1,0,1
England Conference South,2019,1,5,WellingUtd,TruroCity,5,3,1
Scotland Championship,2019,1,5,Ayr,Falkirk,0,1,-1
Scotland Championship,2019,1,5,DundeeUtd,Partick,1,1,0
Scotland Championship,2019,1,5,Dunfermline,Alloa,2,2,0
Scotland Championship,2019,1,5,InvernessCT,QueenofSouth,1,2,-1
Scotland League Two,2019,1,5,Cowdenbeath,Berwick,2,0,1
Scotland League Two,2019,1,5,EdinburghCity,Stirling,0,1,-1
Scotland League Two,2019,1,5,Peterhead,Clyde,1,2,-1
Scotland League Two,2019,1,5,QueensPark,Albion,2,2,0
Scotland League One,2019,1,5,Dumbarton,Forfar,2,3,-1
Scotland League One,2019,1,5,Raith,Stenhousemuir,5,1,1
Scotland League One,2019,1,5,Stranraer,Montrose,2,0,1
Scotland League One,2019,1,5,Arbroath,Brechin,1,0,1
Scotland League One,2019,1,5,EastFife,AirdrieUtd,1,2,-1
England League 1,2019,1,5,Charlton,Sunderland,1,1,0
England League 1,2019,1,5,Rochdale,BurtonAlbion,0,4,-1
England League 1,2019,1,5,Scunthorpe,Coventry,2,1,1
England League 2,2019,1,5,CambridgeUtd,Stevenage,2,0,1
England League 2,2019,1,5,Carlisle,Mansfield,3,2,1
England League 2,2019,1,5,Colchester,NottsCounty,3,3,0
England League 2,2019,1,5,CrawleyTown,Cheltenham,1,0,1
England League 2,2019,1,5,Macclesfield,Swindon,1,2,-1
England League 2,2019,1,5,Morecambe,Crewe,2,2,0
England League 2,2019,1,5,Yeovil,Bury,0,1,-1
Portugal LigaPro,2019,1,5,FCPortoII,BenficaII,2,2,0
England Conference,2019,1,5,Bromley,AFCFylde,3,2,1
England Conference,2019,1,5,Chesterfield,EbbsfleetUnited,3,3,0
England Conference,2019,1,5,DagenhamandRedbridge,BorehamWood,4,4,0
England Conference,2019,1,5,Halifax,BraintreeTown,0,0,0
England Conference,2019,1,5,Gateshead,MaidenheadUtd,0,1,-1
England Conference,2019,1,5,Hartlepool,MaidstoneUtd,1,2,-1
England Conference,2019,1,5,HavantandW,Barrow,2,0,1
England Conference,2019,1,5,LeytonOrient,SalfordCity,0,3,-1
England Conference,2019,1,5,SolihullMoors,Eastleigh,4,1,1
England Conference,2019,1,5,SuttonUtd,HarrogateTown,2,1,1
England Conference,2019,1,5,Wrexham,DoverAthletic,0,1,-1
England Conference North,2019,1,5,TelfordUtd,SpennymoorTown,2,1,1
England Conference North,2019,1,5,BlythSpartans,AlfretonTown,1,1,0
England Conference North,2019,1,5,BostonUtd,Altrincham,1,2,-1
England Conference North,2019,1,5,BrackleyTown,AshtonUtd,3,1,1
England Conference North,2019,1,5,CurzonAshton,York,1,0,1
England Conference North,2019,1,5,Darlington,Kidderminster,3,0,1
England Conference North,2019,1,5,FCUnited,Chester,0,2,-1
England Conference North,2019,1,5,Guiseley,Leamington,1,1,0
England Conference North,2019,1,5,Hereford,Chorley,1,1,0
England Conference North,2019,1,5,Southport,NuneatonTown,1,1,0
England Conference North,2019,1,5,Stockport,BradfordParkAvenue,3,0,1
England Conference South,2019,1,5,ChelmsfordCity,HamptonandRichmond,2,0,1
